"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00149",0,NA,NA,NA,NA,NA
"AQUIFEX_00150",2.49651102027449,-0.583466560923699,1.25779083939037,-0.463882024460042,0.642732272151275,0.998912159871704
"AQUIFEX_00151",130.083400103108,0.00697463256700867,0.202695011966032,0.034409492860029,0.972550613748055,0.998912159871704
"AQUIFEX_00152",146.309056826447,0.0211753749445777,0.189239934901479,0.111896968024227,0.910905100672775,0.998912159871704
"AQUIFEX_00153",304.09974243869,0.0536334126808922,0.135174161713765,0.39677266720886,0.691535108222078,0.998912159871704
"AQUIFEX_00154",0,NA,NA,NA,NA,NA
"AQUIFEX_00155",0,NA,NA,NA,NA,NA
"AQUIFEX_00156",74.408235545741,-0.0955446233973588,0.273422950375958,-0.349438930660299,0.726759810680545,0.998912159871704
"AQUIFEX_00157",122.834963757323,0.00154590898446341,0.209810304701071,0.00736812706442594,0.994121138366519,0.998912159871704
"AQUIFEX_00158",152.297102396532,-0.0552664489395667,0.18553015333976,-0.297883917760568,0.765791762824586,0.998912159871704
"AQUIFEX_00159",150.80372288492,-0.0654393209783964,0.188347148788959,-0.347439934180902,0.728260836533573,0.998912159871704
"AQUIFEX_00160",235.936366765934,-0.0504093899400885,0.149138912388905,-0.338002933859659,0.735360976865526,0.998912159871704
"AQUIFEX_00161",0,NA,NA,NA,NA,NA
"AQUIFEX_00162",44.6873402449506,-0.11129019099786,0.340892886760209,-0.326466744599876,0.744071246144958,0.998912159871704
"AQUIFEX_00163",95.6214110394577,-0.111552010236714,0.234568239150653,-0.475563148023075,0.634385634922598,0.998912159871704
"AQUIFEX_00164",283.375069303606,0.00405052266938718,0.13819098935826,0.0293110476174841,0.976616515964369,0.998912159871704
"AQUIFEX_00165",269.397995748629,-0.156502807379325,0.142797909032359,-1.0959740828128,0.273090116571102,0.998912159871704
"AQUIFEX_00166",88.6347666120468,0.123503941010662,0.249759550768095,0.494491364317582,0.620959203668161,0.998912159871704
